,LONGITUDE,LATITUDE,FLOOR,BUILDINGID,SPACEID,RELATIVEPOSITION,USERID,PHONEID,TIMESTAMP,REFPOINT
133,-7516.088799998164,4864889.878200002,2,1,16,2,2,23,1371714907,25
134,-7512.604163631797,4864884.949543999,2,1,16,1,2,23,1371714933,24
135,-7516.841499999165,4864889.291000001,2,1,28,2,2,23,1371714834,57
136,-7501.221900001168,4864863.072899997,2,1,2,2,2,23,1371715214,52
137,-7482.4561760276565,4864901.429579936,2,1,10,1,2,23,1371715069,0
138,-7502.449700001627,4864884.176100002,2,1,22,2,2,23,1371714979,53
139,-7489.177499998361,4864899.944899999,2,1,10,2,2,23,1371715028,3
140,-7480.124099999665,4864894.9306000015,2,1,10,2,2,23,1371715120,3
141,-7506.731899999082,4864850.683999999,2,1,4,2,2,23,1371715360,63
142,-7516.474500000478,4864844.597199999,2,1,6,2,2,23,1371715437,67
143,-7511.736699998379,4864841.647200003,2,1,5,2,2,23,1371715406,65
144,-7491.030633945018,4864865.38593483,2,1,2,1,2,23,1371715246,44
145,-7502.826900001615,4864860.174599998,2,1,3,2,2,23,1371715291,61
146,-7504.881400000304,4864865.5295,2,1,9,2,2,23,1371715546,73
147,-7474.652600001544,4864865.9525000015,2,1,27,2,2,23,1371715614,55
148,-7474.652600001544,4864865.9525000015,2,1,27,2,2,23,1371715761,55
149,-7506.529300000519,4864862.554300003,2,1,8,2,2,23,1371715515,71
150,-7511.5214999988675,4864853.5402000025,2,1,7,2,2,23,1371715477,69
151,-7469.7391000017515,4864864.291500002,2,1,18,2,2,23,1371715874,29
152,-7474.582499999553,4864866.872299999,2,1,17,2,2,23,1371715934,27
153,-7470.518699999899,4864863.662799999,2,1,26,2,2,23,1371715822,54
154,-7466.291100092231,4864859.3389488915,2,1,18,1,2,23,1371715889,28
155,-7327.492165092379,4864766.668530561,3,2,247,1,2,23,1371716706,103
156,-7331.400499999522,4864768.478600003,3,2,248,2,2,23,1371716623,105
157,-7458.26419999823,4864852.0842999965,2,1,217,2,2,23,1371716135,51
158,-7457.242100000381,4864853.930299997,2,1,216,2,2,23,1371716113,49
159,-7331.747999999671,4864767.318000004,3,2,247,2,2,23,1371716678,104
160,-7344.211399998516,4864750.939999999,3,2,242,2,2,23,1371716883,97
161,-7341.214999999851,4864756.341499999,3,2,243,2,2,23,1371716844,99
162,-7337.394799999893,4864763.226999998,3,2,245,2,2,23,1371716785,101
163,-7340.524599999189,4864757.585900001,3,2,244,2,2,23,1371716813,100
164,-7336.700399998575,4864764.478799999,3,2,246,2,2,23,1371716749,102
165,-7337.23213905096,4864752.848840348,3,2,243,1,2,23,1371716969,98
166,-7344.968400001526,4864749.5759999985,3,2,241,2,2,23,1371717059,95
167,-7344.968400001526,4864749.5759999985,3,2,241,2,2,23,1371717028,95
168,-7339.1538871750245,4864749.384690456,3,2,242,1,2,23,1371716922,96
169,-7407.379599999636,4864799.6941,3,2,201,2,2,23,1371717395,48
170,-7410.328999999911,4864800.005599998,3,2,202,2,2,23,1371717493,49
171,-7408.288427382708,4864803.464716807,3,2,201,1,2,23,1371717460,47
172,-7408.288427382708,4864803.464716807,3,2,201,1,2,23,1371717550,47
173,-7347.108300000428,4864748.045599997,3,2,240,2,2,23,1371717251,94
174,-7413.154800001532,4864789.236699998,3,2,204,2,2,23,1371720030,52
175,-7413.921399999409,4864785.033399999,3,2,206,2,2,23,1371720099,54
176,-7411.2507000006735,4864792.7678999975,3,2,203,2,2,23,1371719996,51
177,-7413.955299999566,4864787.794299996,3,2,205,2,2,23,1371720067,53
178,-7398.11080000177,4864785.8972999975,3,2,211,2,2,23,1371720280,59
179,-7406.063099998981,4864788.219300002,3,2,208,2,2,23,1371720171,56
180,-7404.705499999225,4864787.466200002,3,2,210,2,2,23,1371720240,58
181,-7405.100900001824,4864789.7755,3,2,207,2,2,23,1371720139,55
182,-7403.73600000143,4864789.018399999,3,2,209,2,2,23,1371720207,57
183,-7398.5587060302505,4864779.87839587,3,2,214,1,2,23,1371720443,62
184,-7396.896099999547,4864785.223499998,3,2,213,2,2,23,1371720342,61
185,-7397.859799999744,4864783.668200001,3,2,214,2,2,23,1371720372,63
186,-7399.109700001776,4864784.361699998,3,2,212,2,2,23,1371720310,60
187,-7391.35909999907,4864782.1516999975,3,2,215,2,2,23,1371720576,65
188,-7390.649026967585,4864785.979925662,3,2,215,1,2,23,1371720613,64
189,-7415.163003530352,4864796.084482223,3,2,203,1,2,23,1371720498,50
190,-7392.357000000775,4864780.615599996,3,2,216,2,2,23,1371720652,67
191,-7385.372800000012,4864776.740699999,3,2,220,2,2,23,1371720851,71
192,-7384.393399998547,4864778.2870000005,3,2,219,2,2,23,1371720819,70
193,-7390.095800001174,4864781.450599998,3,2,217,2,2,23,1371720756,68
194,-7391.084499999882,4864779.909699999,3,2,218,2,2,23,1371720785,69
195,-7395.100707694888,4864777.95992858,3,2,216,1,2,23,1371720711,66
196,-7384.211300000548,4864776.0964,3,2,222,2,2,23,1371720913,73
197,-7383.265599999577,4864777.661399998,3,2,221,2,2,23,1371720883,72
198,-7374.294482905418,4864777.897182643,3,2,223,1,2,23,1371720992,74
199,-7376.4010000005355,4864773.852899998,3,2,223,2,2,23,1371720950,75
200,-7377.651299998164,4864772.941299997,3,2,250,2,2,23,1371721039,106
201,-7369.414400000124,4864767.887100004,3,2,226,2,2,23,1371721156,78
202,-7370.614700000732,4864768.552900001,3,2,224,2,2,23,1371721109,76
203,-7368.386100001633,4864769.406199999,3,2,227,2,2,23,1371721205,79
204,-7369.632300000639,4864770.0979999965,3,2,225,2,2,23,1371721073,77
205,-7362.526500001551,4864764.065700002,3,2,230,2,2,23,1371721303,83
206,-7363.228232070805,4864760.277467221,3,2,230,1,2,23,1371721345,82
207,-7363.996100001038,4864764.880800001,3,2,228,2,2,23,1371721238,80
208,-7361.5406999997795,4864765.608599998,3,2,231,2,2,23,1371721388,84
209,-7354.719900000841,4864761.8244,3,2,235,2,2,23,1371721515,88
210,-7356.978100001811,4864760.987300001,3,2,232,2,2,23,1371721420,85
211,-7356.0102000012985,4864762.5402000025,3,2,233,2,2,23,1371721449,86
212,-7350.146999999882,4864757.249200001,3,2,236,2,2,23,1371721546,90
213,-7355.670499999076,4864760.262000002,3,2,234,2,2,23,1371721482,87
214,-7348.012899998575,4864758.103299998,3,2,239,2,2,23,1371721683,93
215,-7352.9321568608275,4864754.565126285,3,2,236,1,2,23,1371721582,89
216,-7348.8982000015685,4864756.556000002,3,2,238,2,2,23,1371721648,92
217,-7349.279599998145,4864758.806000002,3,2,237,2,2,23,1371721618,91
218,-7527.451099999249,4864929.146399997,2,1,101,2,2,23,1371713764,2
219,-7541.264299999922,4864920.7782000005,2,1,106,2,2,23,1371713721,13
220,-7524.570399999618,4864934.093000002,2,1,102,2,2,23,1371713796,5
221,-7536.6211999990055,4864934.2251999965,2,1,106,2,2,23,1371713679,13
222,-7536.598200000822,4864918.117200002,2,1,101,2,2,23,1371713639,2
223,-7519.152399998158,4864949.532200001,2,1,103,2,2,23,1371714083,7
224,-7519.152399998158,4864949.532200001,2,1,103,2,2,23,1371713872,7
225,-7510.437173217535,4864949.2514167065,2,1,103,1,2,23,1371714116,6
226,-7523.628199998288,4864951.958300002,2,1,104,2,2,23,1371714155,9
227,-7533.896200001241,4864939.258299999,2,1,105,2,2,23,1371713830,11
228,-7564.196299999952,4864887.1932,2,1,111,2,2,23,1371714344,18
229,-7559.497299998999,4864887.650399998,2,1,112,2,2,23,1371714295,20
230,-7528.816401548684,4864959.430612221,2,1,104,1,2,23,1371714189,8
231,-7571.071074258536,4864890.459293477,2,1,112,1,2,23,1371714281,19
232,-7559.78200000152,4864871.373499997,2,1,108,2,2,23,1371714456,15
233,-7571.093400001526,4864871.7184000015,2,1,110,2,2,23,1371714382,17
234,-7555.132300000639,4864885.251500003,2,1,107,2,2,23,1371714498,14
235,-7562.186200000346,4864866.785099998,2,1,109,2,2,23,1371714421,16
236,-7537.339899998158,4864895.785400003,2,1,117,2,2,23,1371714545,21
237,-7521.867186445744,4864889.477093995,2,1,29,1,2,23,1371714792,58
238,-7520.724500000478,4864892.4384,2,1,15,2,2,23,1371714717,23
239,-7526.710926756264,4864892.801808476,2,1,15,1,2,23,1371714750,22
240,-7517.912551965565,4864887.286727645,2,1,28,1,2,23,1371714818,56
241,-7512.604163631797,4864884.949543999,2,1,16,1,2,23,1371714934,24
242,-7516.088799998164,4864889.878200002,2,1,16,2,2,23,1371714908,25
243,-7516.841499999165,4864889.291000001,2,1,28,2,2,23,1371714836,57
244,-7502.449700001627,4864884.176100002,2,1,22,2,2,23,1371714981,53
245,-7520.755800001323,4864891.4821000025,2,1,29,2,2,23,1371714868,59
246,-7480.124099999665,4864894.9306000015,2,1,10,2,2,23,1371715121,3
247,-7482.4561760276565,4864901.429579936,2,1,10,1,2,23,1371715070,0
248,-7501.221900001168,4864863.072899997,2,1,2,2,2,23,1371715216,52
249,-7489.177499998361,4864899.944899999,2,1,10,2,2,23,1371715029,3
250,-7506.731899999082,4864850.683999999,2,1,4,2,2,23,1371715362,63
251,-7516.474500000478,4864844.597199999,2,1,6,2,2,23,1371715441,67
252,-7511.736699998379,4864841.647200003,2,1,5,2,2,23,1371715405,65
253,-7502.826900001615,4864860.174599998,2,1,3,2,2,23,1371715292,61
254,-7491.030633945018,4864865.38593483,2,1,2,1,2,23,1371715247,44
255,-7474.652600001544,4864865.9525000015,2,1,27,2,2,23,1371715762,55
256,-7511.5214999988675,4864853.5402000025,2,1,7,2,2,23,1371715479,69
257,-7504.881400000304,4864865.5295,2,1,9,2,2,23,1371715548,73
258,-7506.529300000519,4864862.554300003,2,1,8,2,2,23,1371715517,71
259,-7474.582499999553,4864866.872299999,2,1,17,2,2,23,1371715937,27
260,-7480.431491758674,4864867.1309280535,2,1,17,1,2,23,1371715960,26
261,-7457.242100000381,4864853.930299997,2,1,216,2,2,23,1371716100,49
262,-7470.518699999899,4864863.662799999,2,1,26,2,2,23,1371715824,54
263,-7466.291100092231,4864859.3389488915,2,1,18,1,2,23,1371715890,28
264,-7458.26419999823,4864852.0842999965,2,1,217,2,2,23,1371716135,51
265,-7327.492165092379,4864766.668530561,3,2,247,1,2,23,1371716708,103
266,-7331.747999999671,4864767.318000004,3,2,247,2,2,23,1371716679,104
267,-7331.400499999522,4864768.478600003,3,2,248,2,2,23,1371716624,105
268,-7340.524599999189,4864757.585900001,3,2,244,2,2,23,1371716815,100
269,-7341.214999999851,4864756.341499999,3,2,243,2,2,23,1371716846,99
270,-7336.700399998575,4864764.478799999,3,2,246,2,2,23,1371716751,102
271,-7337.394799999893,4864763.226999998,3,2,245,2,2,23,1371716786,101
272,-7344.211399998516,4864750.939999999,3,2,242,2,2,23,1371716885,97
273,-7337.23213905096,4864752.848840348,3,2,243,1,2,23,1371716971,98
274,-7344.968400001526,4864749.5759999985,3,2,241,2,2,23,1371717060,95
275,-7339.1538871750245,4864749.384690456,3,2,242,1,2,23,1371716923,96
276,-7344.968400001526,4864749.5759999985,3,2,241,2,2,23,1371717029,95
277,-7407.379599999636,4864799.6941,3,2,201,2,2,23,1371717396,48
278,-7408.288427382708,4864803.464716807,3,2,201,1,2,23,1371717461,47
279,-7408.288427382708,4864803.464716807,3,2,201,1,2,23,1371717548,47
280,-7347.108300000428,4864748.045599997,3,2,240,2,2,23,1371717253,94
281,-7410.328999999911,4864800.005599998,3,2,202,2,2,23,1371717494,49
282,-7411.2507000006735,4864792.7678999975,3,2,203,2,2,23,1371719998,51
283,-7413.921399999409,4864785.033399999,3,2,206,2,2,23,1371720100,54
284,-7413.955299999566,4864787.794299996,3,2,205,2,2,23,1371720068,53
285,-7413.154800001532,4864789.236699998,3,2,204,2,2,23,1371720031,52
286,-7405.100900001824,4864789.7755,3,2,207,2,2,23,1371720140,55
287,-7404.705499999225,4864787.466200002,3,2,210,2,2,23,1371720242,58
288,-7406.063099998981,4864788.219300002,3,2,208,2,2,23,1371720172,56
289,-7398.11080000177,4864785.8972999975,3,2,211,2,2,23,1371720282,59
290,-7403.73600000143,4864789.018399999,3,2,209,2,2,23,1371720208,57
291,-7399.109700001776,4864784.361699998,3,2,212,2,2,23,1371720311,60
292,-7396.896099999547,4864785.223499998,3,2,213,2,2,23,1371720343,61
293,-7397.859799999744,4864783.668200001,3,2,214,2,2,23,1371720374,63
294,-7398.5587060302505,4864779.87839587,3,2,214,1,2,23,1371720445,62
295,-7415.163003530352,4864796.084482223,3,2,203,1,2,23,1371720500,50
296,-7390.649026967585,4864785.979925662,3,2,215,1,2,23,1371720614,64
297,-7392.357000000775,4864780.615599996,3,2,216,2,2,23,1371720653,67
298,-7391.35909999907,4864782.1516999975,3,2,215,2,2,23,1371720578,65
299,-7390.095800001174,4864781.450599998,3,2,217,2,2,23,1371720758,68
300,-7391.084499999882,4864779.909699999,3,2,218,2,2,23,1371720786,69
301,-7385.372800000012,4864776.740699999,3,2,220,2,2,23,1371720853,71
302,-7384.393399998547,4864778.2870000005,3,2,219,2,2,23,1371720821,70
303,-7395.100707694888,4864777.95992858,3,2,216,1,2,23,1371720714,66
304,-7384.211300000548,4864776.0964,3,2,222,2,2,23,1371720914,73
305,-7376.4010000005355,4864773.852899998,3,2,223,2,2,23,1371720952,75
306,-7374.294482905418,4864777.897182643,3,2,223,1,2,23,1371720993,74
307,-7383.265599999577,4864777.661399998,3,2,221,2,2,23,1371720884,72
308,-7369.632300000639,4864770.0979999965,3,2,225,2,2,23,1371721074,77
309,-7369.414400000124,4864767.887100004,3,2,226,2,2,23,1371721152,78
310,-7377.651299998164,4864772.941299997,3,2,250,2,2,23,1371721041,106
311,-7368.386100001633,4864769.406199999,3,2,227,2,2,23,1371721206,79
312,-7370.614700000732,4864768.552900001,3,2,224,2,2,23,1371721111,76
313,-7363.228232070805,4864760.277467221,3,2,230,1,2,23,1371721347,82
314,-7363.996100001038,4864764.880800001,3,2,228,2,2,23,1371721241,80
315,-7362.526500001551,4864764.065700002,3,2,230,2,2,23,1371721304,83
316,-7363.03830000013,4864766.439499997,3,2,229,2,2,23,1371721272,81
317,-7361.5406999997795,4864765.608599998,3,2,231,2,2,23,1371721390,84
318,-7355.670499999076,4864760.262000002,3,2,234,2,2,23,1371721484,87
319,-7354.719900000841,4864761.8244,3,2,235,2,2,23,1371721517,88
320,-7356.978100001811,4864760.987300001,3,2,232,2,2,23,1371721421,85
321,-7356.0102000012985,4864762.5402000025,3,2,233,2,2,23,1371721451,86
322,-7349.279599998145,4864758.806000002,3,2,237,2,2,23,1371721620,91
323,-7348.8982000015685,4864756.556000002,3,2,238,2,2,23,1371721650,92
324,-7350.146999999882,4864757.249200001,3,2,236,2,2,23,1371721547,90
325,-7352.9321568608275,4864754.565126285,3,2,236,1,2,23,1371721583,89
326,-7536.598200000822,4864918.117200002,2,1,101,2,2,23,1371713640,2
327,-7541.264299999922,4864920.7782000005,2,1,106,2,2,23,1371713723,13
328,-7527.451099999249,4864929.146399997,2,1,101,2,2,23,1371713765,2
329,-7348.012899998575,4864758.103299998,3,2,239,2,2,23,1371721684,93
330,-7536.6211999990055,4864934.2251999965,2,1,106,2,2,23,1371713681,13
331,-7519.152399998158,4864949.532200001,2,1,103,2,2,23,1371713873,7
332,-7524.570399999618,4864934.093000002,2,1,102,2,2,23,1371713797,5
333,-7519.152399998158,4864949.532200001,2,1,103,2,2,23,1371714085,7
334,-7533.896200001241,4864939.258299999,2,1,105,2,2,23,1371713831,11
335,-7510.437173217535,4864949.2514167065,2,1,103,1,2,23,1371714118,6
336,-7523.628199998288,4864951.958300002,2,1,104,2,2,23,1371714156,9
337,-7559.497299998999,4864887.650399998,2,1,112,2,2,23,1371714297,20
338,-7528.816401548684,4864959.430612221,2,1,104,1,2,23,1371714190,8
339,-7571.071074258536,4864890.459293477,2,1,112,1,2,23,1371714283,19
340,-7571.093400001526,4864871.7184000015,2,1,110,2,2,23,1371714383,17
341,-7562.186200000346,4864866.785099998,2,1,109,2,2,23,1371714423,16
342,-7564.196299999952,4864887.1932,2,1,111,2,2,23,1371714345,18
343,-7559.78200000152,4864871.373499997,2,1,108,2,2,23,1371714457,15
344,-7520.724500000478,4864892.4384,2,1,15,2,2,23,1371714728,23
345,-7521.867186445744,4864889.477093995,2,1,29,1,2,23,1371714790,58
346,-7526.710926756264,4864892.801808476,2,1,15,1,2,23,1371714750,22
347,-7555.132300000639,4864885.251500003,2,1,107,2,2,23,1371714499,14
348,-7537.339899998158,4864895.785400003,2,1,117,2,2,23,1371714546,21
349,-7516.841499999165,4864889.291000001,2,1,28,2,2,23,1371714838,57
350,-7520.755800001323,4864891.4821000025,2,1,29,2,2,23,1371714869,59
351,-7517.912551965565,4864887.286727645,2,1,28,1,2,23,1371714820,56
352,-7516.088799998164,4864889.878200002,2,1,16,2,2,23,1371714909,25
353,-7480.124099999665,4864894.9306000015,2,1,10,2,2,23,1371715123,3
354,-7482.4561760276565,4864901.429579936,2,1,10,1,2,23,1371715072,0
355,-7512.604163631797,4864884.949543999,2,1,16,1,2,23,1371714936,24
356,-7489.177499998361,4864899.944899999,2,1,10,2,2,23,1371715031,3
357,-7502.449700001627,4864884.176100002,2,1,22,2,2,23,1371714982,53
358,-7491.030633945018,4864865.38593483,2,1,2,1,2,23,1371715249,44
359,-7501.221900001168,4864863.072899997,2,1,2,2,2,23,1371715217,52
360,-7502.826900001615,4864860.174599998,2,1,3,2,2,23,1371715294,61
361,-7506.731899999082,4864850.683999999,2,1,4,2,2,23,1371715363,63
